id,imdb_id,title,original_title,overview,tagline,status,runtime,release_date,budget,revenue,popularity,vote_average,vote_count,genres,production_companies,production_countries,spoken_languages,homepage,adult,original_language,belongs_to_collection,poster_path,backdrop_path
43390,tt0043012,Summer Stock,Summer Stock,"To Jane Falbury's New England farm comes a troup of actors to put up a show, invited by Jane's sister. At first reluctant she has them do farm chores in exchange for food. Her reluctance becomes attraction when she falls in love with the director, Joe, who happens to be her sister's fiance.",MGM brings on the show with music - dancing - Technicolor,Released,108,8/31/1950,2025000,3357000,1.9809,6.7,55,"Music, Romance",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/akCdZrlDIoIRXbL8rZOoHFxSkWY.jpg,/hgViSp8G2HbMpXJ85XaT6QJHHcD.jpg
43398,tt0041238,Challenge to Lassie,Challenge to Lassie,"When Lassie's master dies, an old friend tries to convince a judge that the dog's life should be spared.",Wanted by the Law,Released,76,10/31/1949,775000,1155000,1.3104,4.8,10,"Action, Family, Adventure, Drama","Loew's Incorporated, Metro-Goldwyn-Mayer",United States of America,English,,FALSE,en,MGM's Lassie Collection,/wUNmG2x2U71fzzCFkdiEwAXSlAo.jpg,/x2n4DGnGsXdRyuOrWDHkWnudlaW.jpg
43410,tt0382383,Yuva,א₪¯א¥א₪µא₪¾,"An accident on a bridge ties together three young men from different social classes, sparking a course of events that will forever alter their lives.",,Released,161,5/22/2004,4600000,6700000,1.8391,6.4,48,"Drama, Crime",Madras Talkies,India,"Bengali, Hindi",,FALSE,hi,,/m3h7iSCBBFT40IZYuh3IjJN6fjE.jpg,/xDs2K2VNBz7UemiUt3rywvdLHKx.jpg
43434,tt1321865,Carlos,Carlos,"The story of Venezuelan revolutionary, Ilich Ramirez Sanchez, who founded a worldwide terrorist organization and raided the OPEC headquarters in 1975 before being caught by the French police.",The man who hijacked the world,Released,111,07/07/2010,18000000,871279,2.7232,6.971,209,"Crime, Drama, Thriller, History","Films en Stock, Egoli Tossell Film, Canal+, ARTE France Cinֳ©ma, BeTV, Cinֳ©Cinֳ©ma, PROCIREP, StudioCanal, TV5 Monde, CNC, ANGOA","Germany, France","French, German, English, Spanish, Arabic, Hungarian, Japanese, Russian",,FALSE,en,,/ee6EiUOXdvr7DvnBBEG691TNSKh.jpg,/bYCj7U89sVREvaxFKpnk2kbnxnF.jpg
43449,tt0040745,Romance on the High Seas,Romance on the High Seas,Georgia Garrett is sent by jealous wife Elvira Kent on an ocean cruise to masquerade as herself while she secretly stays home to catch her husband cheating. Meanwhile equally suspicious husband Michael Kent has sent a private eye on the same cruise to catch his wife cheating. Love and confusion ensues along with plenty of musical numbers.,Romance and Laughter...under a Rio moon!,Released,99,6/25/1948,2532000,3225000,3.7566,6.7,29,"Comedy, Romance","Michael Curtiz Productions, Warner Bros. Pictures",United States of America,"English, Italian, Portuguese, Spanish",,FALSE,en,,/60YafJKLwCINwD7Q10yWXDpAGt3.jpg,/6xdHzVtFQoyoker40qD4rdlIFtU.jpg
43456,tt0040594,The Miracle of the Bells,The Miracle of the Bells,"The body of a young actress is brought to her home town by the man who loved her. He knows that she wanted all the church bells to ring for three days after she was buried, but is told that this will cost a lot of money. The checks that he writes to the various churches all bounce, but it is the weekend and, in desperation, he prays that a miracle will happen before the banks reopen. It does, but not in the way he hoped.",,Released,120,3/27/1948,2000000,2100000,1.9696,6.3,13,Drama,"RKO Radio Pictures, Jesse L. Lasky Productions",United States of America,English,,FALSE,en,,/1C8wDuJoCZ5BhtAGinhejcyjcge.jpg,/AoRZYgpwUyNB6wLbPxXyPTjOhZj.jpg
43475,tt0113234,Gumby: The Movie,Gumby: The Movie,"On the brink of a big deal with mogul Lucky Claybert, Gumby and his band The Clayboys must do battle with the villainous Blockheads, who have kidnapped their loyal canine Lowbelly.",The original green hero!,Released,91,10/04/1995,2800000,57100,1.3694,5.5,17,"Fantasy, Animation, Family, Music, Adventure","Premavision Inc., Arrow Releasing, WarnerVision Films",United States of America,English,,FALSE,en,,/A4wc8SrcaKyfNKXA0g5Aydpk4Id.jpg,/oplq7JCIKEDbKxKPwTt9dHuWXjc.jpg
43483,tt0038704,Love Laughs at Andy Hardy,Love Laughs at Andy Hardy,Andy Hardy goes to college after serving in the war and finds his sweetheart is engaged to someone else.,It's new and terrific!,Released,93,12/25/1946,1001000,2359000,1.2017,5.3,10,"Comedy, Romance",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,Andy Hardy Collection,/v9KOUCgJRgWEQbhHcZJaoGrwyGH.jpg,/8WiwDBrpGDMiHRoeP904WGtfqU8.jpg
43498,tt0038262,Yolanda and the Thief,Yolanda and the Thief,"Johnny Riggs, a con man on the lam, finds himself in a Latin-American country named Patria. There, he overhears a convent-bred rich girl praying to her guardian angel for help in managing her tangled business affairs. Riggs decides to materialize as the girl's ""angel"", gains her unquestioning confidence, and helps himself to the deluded girl's millions. Just as he and his partner are about to flee Patria with their booty, Riggs realizes he has fallen in love with the girl and returns the money, together with a note that is part confession and part love letter. But the larcenous duo's escape from Patria turns out to be more difficult than they could ever have imagined.",M-G-M's Magic Musical in Technicolor!,Released,108,11/22/1945,2443322,1791000,1.7588,5.7,11,"Music, Romance, Fantasy",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/3y2LPO85Dzozhvoti8oa9pxAQP9.jpg,/ikgmiZRoW28H39L5YDqGw3rY96o.jpg
43501,tt0036984,Kismet,Kismet,"Hafiz, a rascally beggar on the periphery of the court of Baghdad, schemes to marry his daughter to royalty and to win the heart of the queen of the castle himself.",,Released,103,10/01/1944,3015000,1827000,1.8846,5,13,"Adventure, Fantasy, Romance",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/fuoKJ341mqiRB5hMXEJc49GWpn6.jpg,/nuFvDwBSauFNvYLONAK5rLpxLvh.jpg
