id,title,runtime,release_date,budget,revenue,popularity,vote_average,vote_count,belongs_to_collection,missingness_score,has_tagline,has_homepage,num_same_title,changed_title,num_genres,main_genre,Comedy,Drama,Documentary,Science Fiction,Western,TV Movie,Mystery,Romance,Thriller,Animation,Family,Adventure,War,Music,History,Action,Fantasy,Crime,Horror,top10_prod_comps,num_production_companies,main_production_country,num_production_countries,num_spoken_languages,lang_group,is_english_spoken,popularity_percentile,weighted_rating,release_year,Season,return_on_investment_ratio,profit_loss
71,Billy Elliot,110,2000-09-28,5000000,109280263,8.2024,7.595,3899,0,0,1,0,1,False,3,Drama,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Universal Pictures,7,France,2,1,1,True,87.88305033658193,7.594676081300059,2000,Fall,20.8560526,104280263
73,American History X,119,1998-07-01,20000000,23900000,13.8998,8.338,11829,0,0,1,0,1,False,1,Drama,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,New Line Cinema,3,United States of America,1,1,1,True,95.80026122777052,8.33783040719106,1998,Summer,0.195,3900000
74,War of the Worlds,117,2005-06-13,132000000,603873119,16.8515,6.513,8550,0,0,1,1,1,False,3,Adventure,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,Paramount Pictures,4,United States of America,1,1,1,True,97.40781673867176,6.512978799797711,2005,Summer,3.574796356060606,471873119
75,Mars Attacks!,106,1996-12-13,70000000,101371017,9.2036,6.413,5550,0,0,1,1,1,False,3,Comedy,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Warner Bros.,2,United States of America,1,2,2,True,90.43504471013765,6.412985357065436,1996,Winter,0.4481573857142857,31371017
76,Before Sunrise,101,1995-01-27,2500000,5987386,10.2145,7.971,4272,1,0,1,1,1,False,2,Drama,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Other,3,Austria,2,3,3,True,91.85170300411936,7.970616362525211,1995,Winter,1.3949544,3487386
77,Memento,113,2000-10-11,9000000,40047236,15.9904,8.178,15239,0,0,1,0,1,False,2,Mystery,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,Other,4,United States of America,1,1,1,True,97.00592786094646,8.177878852826131,2000,Fall,3.449692888888889,31047236
78,Blade Runner,118,1982-06-25,28000000,41722424,16.1026,7.941,14080,1,0,1,1,1,False,3,Science Fiction,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Warner Bros.,3,United States of America,3,5,4+,True,97.07625841454838,7.940885712454388,1982,Summer,0.4900865714285714,13722424
79,Hero,99,2002-07-22,31000000,177394432,6.2269,7.499,2303,0,0,1,0,1,True,4,Drama,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,Other,6,Hong Kong,2,1,1,False,80.23711443785794,7.498493366783953,2002,Summer,4.722401032258064,146394432
80,Before Sunset,80,2004-06-16,2700000,15992615,6.4009,7.813,3480,1,0,1,1,1,False,2,Drama,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Other,3,United States of America,1,2,2,True,80.99065608359288,7.812574466265507,2004,Summer,4.923190740740741,13292615
81,Nausicaֳ₪ of the Valley of the Wind,117,1984-03-11,1000000,9016411,9.9754,7.951,3701,0,0,1,1,1,True,3,Adventure,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,Other,1,Japan,1,1,1,False,91.52014467999598,7.950562592401466,1984,Spring,8.016411,8016411
82,Miami Vice,132,2006-07-27,135000000,163800000,7.0779,6.0,1821,0,0,1,0,1,False,3,Action,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,Universal Pictures,3,Germany,2,2,2,True,84.07515322013464,6.000182062058304,2006,Summer,0.21333333333333335,28800000
83,Open Water,79,2003-10-26,120000,54683487,3.7456,5.541,1074,1,0,1,1,1,False,3,Drama,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,Other,3,United States of America,1,1,1,True,61.0670149703607,5.541735550763006,2003,Fall,454.695725,54563487
85,Raiders of the Lost Ark,115,1981-06-12,18000000,389925971,18.3971,7.9,12807,1,0,1,1,1,False,2,Adventure,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,Paramount Pictures,2,United States of America,1,6,4+,True,97.90013061388527,7.899877554424597,1981,Summer,20.662553944444443,371925971
87,Indiana Jones and the Temple of Doom,118,1984-05-23,28000000,333000000,13.6653,7.295,9489,1,0,1,1,1,False,2,Adventure,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,Paramount Pictures,2,United States of America,1,3,3,True,95.609364010851,7.294898494949444,1984,Spring,10.892857142857142,305000000
88,Dirty Dancing,100,1987-08-21,6000000,214577242,12.5663,7.331,6221,1,0,1,1,1,False,3,Drama,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,Other,2,United States of America,1,1,1,True,94.74530292374158,7.330839395221831,1987,Summer,34.762873666666664,208577242
89,Indiana Jones and the Last Crusade,127,1989-05-24,48000000,474171806,15.5139,7.847,10378,1,0,1,1,1,False,2,Adventure,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,Paramount Pictures,2,United States of America,1,4,4+,True,96.78488897819753,7.8468540049205355,1989,Spring,8.878579291666666,426171806
